Time,Lat,Lon,Altitude,Accuracy,Heading,Speed
1454539591.160425,42.362000,-71.089898,12.763187,65.000000,-1.000000,-1.000000
1454539596.529763,42.361969,-71.089860,12.763187,67.571245,-1.000000,-1.000000
1454539596.544441,42.361966,-71.089850,12.763187,67.571552,-1.000000,-1.000000
1454539605.957228,42.361944,-71.089897,12.750376,73.517655,-1.000000,-1.000000
1454539606.262329,42.361941,-71.089885,12.750376,73.549441,-1.000000,-1.000000
1454539607.617093,42.361780,-71.090356,12.670078,65.000000,-1.000000,-1.000000
1454539608.179220,42.361769,-71.090388,12.603016,65.000000,-1.000000,-1.000000
1454539615.464768,42.361896,-71.090132,11.722010,65.000000,-1.000000,-1.000000
1454539616.509797,42.361918,-71.090082,11.722010,65.000000,-1.000000,-1.000000
1454539627.191387,42.361928,-71.090002,11.688964,65.000000,-1.000000,-1.000000
1454539630.484421,42.361928,-71.089995,11.667087,65.000000,-1.000000,-1.000000
1454539634.320835,42.361925,-71.089976,11.667087,65.543315,-1.000000,-1.000000
1454539634.353670,42.361921,-71.089973,11.667087,65.545923,-1.000000,-1.000000
1454539634.384093,42.361917,-71.089970,11.667087,65.548172,-1.000000,-1.000000
1454539636.827937,42.361948,-71.090009,11.555331,65.000000,-1.000000,-1.000000
1454539645.831331,42.361960,-71.090013,11.555331,182.177707,-1.000000,-1.000000
1454539645.827937,42.361948,-71.090009,11.555331,65.000000,-1.000000,-1.000000
1454539660.517929,42.361960,-71.090013,11.555331,182.177707,-1.000000,-1.000000
1454539660.751100,42.361769,-71.089657,11.604271,65.000000,-1.000000,-1.000000
1454539660.771880,42.361769,-71.089657,11.604271,65.000000,-1.000000,-1.000000
1454539662.871241,42.361769,-71.089657,11.604271,65.000000,-1.000000,-1.000000
1454539662.884815,42.361769,-71.089657,11.604271,65.000000,-1.000000,-1.000000
1454539662.904564,42.361769,-71.089657,11.604271,65.000000,-1.000000,-1.000000
1454539662.909935,42.361638,-71.089524,11.638433,65.000000,-1.000000,-1.000000
1454539662.909935,42.361615,-71.089504,11.664360,65.000000,-1.000000,-1.000000
1454539678.380681,42.362060,-71.089708,4.715328,30.000000,241.171875,0.920000
1454539683.347910,42.361984,-71.089803,4.715328,180.425772,-1.000000,-1.000000
1454539683.355083,42.361956,-71.089784,4.715328,180.425847,-1.000000,-1.000000
1454539685.029710,42.361476,-71.089308,9.272146,65.000000,-1.000000,-1.000000
1454539685.282989,42.361470,-71.089306,9.272146,65.000000,-1.000000,-1.000000
1454539685.358204,42.361458,-71.089292,10.219185,65.000000,-1.000000,-1.000000
1454539686.053116,42.361463,-71.089296,10.735877,65.000000,-1.000000,-1.000000
1454539711.965848,42.361819,-71.088984,11.089075,65.000000,-1.000000,-1.000000
1454539711.965896,42.361819,-71.088984,11.089075,65.000000,-1.000000,-1.000000
1454539711.970322,42.361819,-71.088984,11.089075,65.000000,-1.000000,-1.000000
1454539712.399905,42.361865,-71.088950,11.089075,65.000000,-1.000000,-1.000000
1454539712.424922,42.361864,-71.088950,11.089075,65.000000,-1.000000,-1.000000
1454539714.434039,42.361915,-71.088879,11.164679,65.000000,-1.000000,-1.000000
1454539723.438727,42.362122,-71.088717,11.164679,65.000000,-1.000000,-1.000000
1454539730.075490,42.362307,-71.088441,11.283627,65.000000,-1.000000,-1.000000
1454539734.615843,42.362363,-71.088393,11.385354,65.000000,-1.000000,-1.000000
1454539743.620994,42.362503,-71.088249,11.385354,65.000000,-1.000000,-1.000000
1454539758.038818,42.362506,-71.087984,11.419467,65.000000,-1.000000,-1.000000
1454539765.402531,42.362518,-71.087569,11.475909,65.000000,-1.000000,-1.000000
1454539767.101806,42.362518,-71.087569,11.475909,65.000000,-1.000000,-1.000000
1454539767.102960,42.362518,-71.087569,11.475909,65.000000,-1.000000,-1.000000
1454539767.108626,42.362517,-71.087485,11.525698,65.000000,-1.000000,-1.000000
1454539767.108626,42.362516,-71.087487,11.565156,65.000000,-1.000000,-1.000000
1454539769.347787,42.362322,-71.087663,55.376492,30.000000,136.054688,1.090000
1454539769.389058,42.362318,-71.087658,55.961819,30.000000,136.054688,1.090000
1454539770.388930,42.362330,-71.087813,7.869045,30.000000,145.546875,1.090000
1454539771.388238,42.362526,-71.087857,7.783962,30.000000,112.500000,1.390000
1454539772.389545,42.362655,-71.087890,8.901485,30.000000,131.132812,1.880000
1454539773.402385,42.362618,-71.087782,9.840939,30.000000,143.437500,2.080000
1454539774.415694,42.362429,-71.087709,8.771084,30.000000,130.429688,2.080000
1454539775.391387,42.362482,-71.087621,8.896664,30.000000,106.875000,1.950000
1454539776.387593,42.362476,-71.087624,8.124783,30.000000,126.914062,1.950000
1454539777.390165,42.362510,-71.087642,8.466702,30.000000,130.781250,1.870000
1454539778.388898,42.362418,-71.087771,7.162258,30.000000,148.007812,2.360000
1454539779.000008,42.362893,-71.087593,4.350704,44.065028,114.257812,2.360000
1454539779.999994,42.362938,-71.087594,4.699093,39.553173,129.726562,1.710000
1454539780.999994,42.362968,-71.087583,4.924953,25.000000,114.960938,1.480000
1454539781.999994,42.362930,-71.087588,5.046291,20.159982,102.656250,1.590000
1454539782.999995,42.362890,-71.087576,4.919888,25.000000,115.664062,1.630000
1454539783.999994,42.362883,-71.087561,4.761868,25.620543,107.578125,1.680000
1454539784.999995,42.362893,-71.087522,4.599209,25.000000,64.335938,1.680000
1454539785.999995,42.362839,-71.087536,4.729092,28.237799,86.132812,1.680000
1454539786.999994,42.362826,-71.087532,4.571835,26.863204,150.820312,1.610000
1454539787.999994,42.362812,-71.087527,4.542629,25.503078,117.070312,1.040000
1454539788.999994,42.362803,-71.087523,4.555935,25.000000,128.320312,1.040000
1454539789.999994,42.362801,-71.087508,4.191830,25.000000,95.976562,1.040000
1454539790.999994,42.362799,-71.087492,4.275173,25.000000,86.835938,1.000000
1454539791.999995,42.362796,-71.087478,4.387264,25.000000,90.351562,1.270000
1454539792.999994,42.362789,-71.087460,4.403133,25.000000,105.468750,1.510000
1454539793.999994,42.362782,-71.087433,4.517788,25.000000,105.468750,1.510000
1454539794.999994,42.362781,-71.087410,4.609798,25.000000,102.656250,1.510000
1454539795.999994,42.362784,-71.087390,4.683620,25.000000,93.164062,1.730000
1454539796.999995,42.362792,-71.087367,4.736050,25.000000,78.398438,1.610000
1454539797.999994,42.362803,-71.087347,5.015041,26.002246,72.773438,1.610000
1454539798.999994,42.362808,-71.087336,5.112179,26.885049,79.101562,1.530000
1454539799.999994,42.362811,-71.087324,5.269131,25.000000,98.085938,1.130000
1454539800.999995,42.362810,-71.087307,5.307827,25.000000,109.687500,1.130000
1454539801.999995,42.362808,-71.087287,5.446865,25.000000,100.546875,1.700000
1454539802.999995,42.362807,-71.087263,5.479458,25.000000,99.140625,1.850000
1454539803.999995,42.362808,-71.087239,5.563595,25.000000,94.921875,1.700000
1454539804.999995,42.362810,-71.087215,5.488613,25.000000,86.484375,1.630000
1454539805.999995,42.362813,-71.087191,5.605648,25.000000,85.781250,1.640000
1454539806.999994,42.362810,-71.087166,5.500759,25.000000,91.757812,1.640000
1454539807.999994,42.362806,-71.087142,5.475491,25.000000,100.546875,1.460000
1454539808.999995,42.362784,-71.087097,5.388729,25.000000,115.664062,1.460000
1454539809.999994,42.362751,-71.087018,5.258663,25.000000,116.718750,3.960000
1454539810.999994,42.362703,-71.086946,5.150204,25.000000,126.562500,5.690000
1454539811.999995,42.362672,-71.086891,5.201595,25.000000,123.398438,5.690000
1454539812.999995,42.362661,-71.086862,5.160885,25.000000,119.882812,4.160000
1454539813.999995,42.362662,-71.086846,5.167019,25.000000,87.539062,2.420000
1454539814.999994,42.362666,-71.086834,5.381313,25.000000,60.468750,2.100000
1454539815.999995,42.362668,-71.086828,5.503109,25.000000,63.281250,1.550000
1454539816.999994,42.362662,-71.086824,5.367245,25.000000,74.882812,1.640000
1454539817.999994,42.362654,-71.086817,5.274258,25.000000,84.023438,1.550000
1454539818.999994,42.362644,-71.086798,5.173000,25.000000,85.078125,1.640000
1454539819.999994,42.362638,-71.086781,5.131832,25.000000,81.562500,1.520000
1454539820.999994,42.362628,-71.086779,5.143917,25.000000,86.132812,0.710000
1454539821.999995,42.362615,-71.086781,5.137691,25.000000,109.687500,0.930000
1454539822.999994,42.362602,-71.086776,5.145840,25.000000,115.664062,0.930000
1454539823.999995,42.362582,-71.086773,5.206753,25.000000,132.890625,1.230000
1454539824.999994,42.362562,-71.086769,5.206539,25.000000,142.734375,1.270000
1454539825.999994,42.362548,-71.086763,5.267727,25.000000,147.304688,1.290000
1454539826.999995,42.362528,-71.086758,5.214504,25.000000,144.492188,1.350000
1454539827.999995,42.362516,-71.086754,5.200802,25.000000,133.242188,1.290000
1454539828.999994,42.362501,-71.086754,5.229336,25.000000,143.437500,0.560000
1454539829.999994,42.362489,-71.086753,5.282986,25.000000,136.054688,0.340000
1454539830.999994,42.362484,-71.086748,5.200954,25.000000,125.156250,0.320000
1454539831.999995,42.362481,-71.086740,5.159725,25.000000,108.281250,0.380000
1454539832.999994,42.362476,-71.086721,5.152370,25.000000,95.625000,0.380000
1454539833.999995,42.362482,-71.086683,5.276424,25.000000,101.601562,1.670000
1454539834.999995,42.362479,-71.086633,5.291592,25.000000,101.953125,3.030000
1454539835.999995,42.362476,-71.086601,5.356838,25.000000,106.523438,3.030000
1454539836.999994,42.362475,-71.086582,5.265408,25.000000,109.687500,1.120000
1454539837.999995,42.362472,-71.086559,5.269772,25.000000,115.312500,1.120000
1454539838.999995,42.362461,-71.086533,5.108852,25.000000,115.312500,1.620000
1454539839.999994,42.362450,-71.086503,5.104305,25.000000,114.257812,1.780000
1454539840.999995,42.362450,-71.086479,4.868343,25.000000,104.062500,1.780000
1454539841.999994,42.362456,-71.086465,4.850521,25.000000,88.593750,1.060000
1454539842.999995,42.362464,-71.086453,4.787655,25.000000,68.203125,0.990000
1454539843.999994,42.362475,-71.086438,4.718441,25.000000,71.367188,0.990000
1454539844.999994,42.362487,-71.086415,4.658077,25.000000,74.179688,2.000000
1454539845.999994,42.362500,-71.086388,4.511868,25.000000,72.421875,2.000000
1454539846.999994,42.362514,-71.086368,4.316036,25.000000,68.906250,1.720000
1454539847.999995,42.362528,-71.086354,4.214138,25.000000,61.875000,1.380000
1454539848.999995,42.362542,-71.086342,4.128902,25.000000,48.164062,1.070000
1454539849.999995,42.362553,-71.086332,4.131313,25.000000,56.601562,1.070000
1454539850.999995,42.362561,-71.086319,4.060146,25.000000,72.773438,1.020000
1454539851.999995,42.362568,-71.086293,4.032223,25.000000,87.539062,1.020000
1454539852.999995,42.362576,-71.086258,4.050900,25.000000,82.265625,1.880000
1454539853.999994,42.362589,-71.086218,4.059414,25.000000,78.046875,2.620000
1454539854.999995,42.362596,-71.086175,4.084438,25.000000,83.671875,2.720000
1454539855.999994,42.362596,-71.086142,4.108395,25.000000,88.593750,2.620000
1454539856.999995,42.362588,-71.086129,4.167385,25.000000,105.117188,1.960000
1454539857.999995,42.362575,-71.086129,4.165768,25.000000,130.429688,1.040000
1454539858.999995,42.362558,-71.086130,4.175503,25.000000,152.578125,1.160000
1454539859.999994,42.362532,-71.086137,4.265255,25.000000,161.718750,1.210000
1454539860.999994,42.362500,-71.086150,4.292904,25.000000,172.265625,1.210000
1454539861.999994,42.362465,-71.086168,4.289974,25.000000,192.304688,1.680000
1454539862.999995,42.362438,-71.086184,4.331173,25.000000,195.820312,1.680000
1454539863.999994,42.362429,-71.086196,4.348476,25.000000,186.679688,0.830000
1454539864.999994,42.362417,-71.086199,4.326504,25.000000,120.234375,0.830000
1454539865.999995,42.362407,-71.086200,4.375668,25.000000,67.851562,0.210000
1454539866.999994,42.362393,-71.086207,4.317684,25.000000,153.632812,0.580000
1454539867.999994,42.362380,-71.086228,3.958523,25.000000,234.140625,1.350000
